subjid,address1,city,country,website,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,irWebsite,longBusinessSummary
QLYS,919 East Hillsdale Boulevard,Foster City,United States,https://www.qualys.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,2378,1,3,4,8,4,1/1/2025 1:00,,"Qualys, Inc., together with its subsidiaries, provides cloud-based platform delivering information technology (IT), security, and compliance solutions in the United States and internationally. It offers Qualys Cloud Apps, which include Cybersecurity Asset Management and External Attack Surface Management; Vulnerability Management, Detection and Response; Web Application Scanning; Patch Management; Custom Assessment and Remediation; Multi-Vector Endpoint Detection and Response; Context Extended Detection and Response; Policy Compliance; File Integrity Monitoring; and Qualys TotalCloud, as well as Cloud Workload Protection, Cloud Detection and Response, Cloud Security Posture Management, Infrastructure as Code, and Container Security. The company's integrated suite of IT, security, and compliance solutions delivered on its Qualys' Enterprise TruRisk Platform enables customers to identify and manage IT assets; collect and analyze IT security data; discover and prioritize vulnerabilities; quantify cyber risk exposure; recommend and implement remediation actions; and verify the implementation of such actions. It also provides asset tagging and management, reporting and dashboards, questionnaires and collaboration, remediation and workflow, big data correlation and analytics engine, and alerts and notifications that enable clients to detect vulnerabilities, and measure and remediate cyber risk. The company offers its solutions to enterprises, government entities, and small and medium-sized businesses in various industries, including education, financial services, government, healthcare, insurance, manufacturing, media, retail, technology, and utilities through its sales teams, as well as through its network of channel partners, such as security consulting organizations, managed service providers, resellers, cloud providers, and consulting firms. Qualys, Inc. was incorporated in 1999 and is headquartered in Foster City, California."
VEEV,4280 Hacienda Drive,Pleasanton,United States,https://www.veeva.com,Health Information Services,health-information-services,Health Information Services,Healthcare,healthcare,Healthcare,7172,3,5,8,3,5,12/1/2024 1:00,,"Veeva Systems Inc. provides cloud-based software for the life sciences industry. It offers Veeva Commercial Cloud, a suite of software and analytics solutions, such as Veeva customer relationship management (CRM) that enable customer-facing employees at pharmaceutical and biotechnology companies; Veeva Vault PromoMats, an end-to-end content and digital asset management solution; Veeva Vault Medical that provides source of medical content across multiple channels and geographies; Veeva Crossix, an analytics platform for pharmaceutical brands; Veeva OpenData, a customer reference data solution; Veeva Link, a data application that allows link to generate real-time intelligence; and Veeva Compass includes de-identified and longitudinal patient data for the United States. The company also provides Veeva Development Cloud, a suite of applications for the clinical, regulatory, quality, and safety functions, including Veeva Vault Clinical, Veeva Vault RIM, Veeva Vault Safety, and Veeva Vault Quality; Veeva QualityOne, a quality and document management, and training solution; Veeva RegulatoryOne, a solution that helps companies to manage regulatory submission content; and Veeva Claims addresses the end-to-end product and marketing claims management process. In addition, it offers professional and support services, including implementation and deployment planning and project management; requirements analysis, solution design, and configuration; systems environment management and deployment services; services focused on advancing or transforming business and operating processes related to Veeva solutions; data migration and systems integrations technical consulting services; training on its solutions; and ongoing managed services, such as outsourced systems administration. The company was formerly known as Verticals onDemand, Inc. and changed its name to Veeva Systems Inc. in April 2009. Veeva Systems Inc. was incorporated in 2007 and is headquartered in Pleasanton, California."
NVO,Novo Alle 1,Bagsvaerd,Denmark,https://www.novonordisk.com,Drug Manufacturers - General,drug-manufacturers-general,Drug Manufacturers - General,Healthcare,healthcare,Healthcare,71880,,,,,,,http://www.novonordisk.com/investors/default.asp,"Novo Nordisk A/S, together with its subsidiaries, engages in the research and development, manufacture, and distribution of pharmaceutical products in Europe, the Middle East, Africa, Mainland China, Hong Kong, Taiwan, North America, and internationally. It operates in two segments, Diabetes and Obesity Care, and Rare Disease. The Diabetes and Obesity care segment provides products for diabetes, obesity, cardiovascular, and other emerging therapy areas. The Rare Disease segment offers products in the areas of rare blood disorders, rare endocrine disorders, and hormone replacement therapy. The company also provides insulin pens, growth hormone pens, and injection needles. In addition, it offers smart solutions for diabetes treatment, such as smart insulin pens and Dose Check, an insulin dose guidance application. The company has a collaboration agreement with Aspen Pharmaceuticals to produce insulin products; and with Korro Bio, Inc. for the discovery and development of new genetic medicines to treat cardiometabolic diseases; and with Valo Health, Inc. to discover and develop novel treatments for obesity, type 2 diabetes, and cardiovascular disease. Novo Nordisk A/S was founded in 1923 and is headquartered in Bagsvaerd, Denmark."
IVU.DE,Bundesallee 88,Berlin,Germany,https://www.ivu.com,Software - Application,software-application,Software - Application,Technology,technology,Technology,1037,,,,,,,,"IVU Traffic Technologies AG, together with its subsidiaries, develops, installs, maintains, and operates integrated IT solutions for buses and trains worldwide. The company offers IVU.suite and IVU.rail software and hardware systems that create timetables, plan and optimize the deployment of buses and trains, dispatch drivers and vehicles, control and monitor the operation of vehicle fleets, sell tickets, inform passengers, cash up takings, and prepare statistics. IVU Traffic Technologies AG was founded in 1976 and is headquartered in Berlin, Germany."
OLTH.AT,"Pier No 1, Port of Thessaloniki",Thessaloniki,Greece,https://www.thpa.gr,Marine Shipping,marine-shipping,Marine Shipping,Industrials,industrials,Industrials,424,,,,,,,,"Thessaloniki Port Authority Societe Anonyme offers transportation services in Greece. The company operates through five segments: Container Terminal, Conventional Cargo, Passenger Traffic, Exploitation of Sites, and Intermodal. It provides containers unitized cargoes; conventional cargoes, such as bulk, general, and RO-RO; cruise vessels and passenger services; vessels anchoring, berthing, and other services; and intermodal transport services. The company also operates car parking stations. It primarily serves industries, vesselping agents, container transportation companies, and freight transport companies. The company was founded in 1999 and is based in Thessaloniki, Greece. Thessaloniki Port Authority Societe Anonyme is a subsidiary of Belterra Investments Ltd."
AVGO,3421 Hillview Ave,Palo Alto,United States,https://www.broadcom.com,Semiconductors,semiconductors,Semiconductors,Technology,technology,Technology,20000,5,2,10,3,9,12/1/2024 1:00,,"Broadcom Inc. designs, develops, and supplies various semiconductor devices with a focus on complex digital and mixed signal complementary metal oxide semiconductor based devices and analog III-V based products worldwide. The company operates in two segments, Semiconductor Solutions and Infrastructure Software. It provides set-top box system-on-chips (SoCs); cable, digital subscriber line, and passive optical networking central office/consumer premise equipment SoCs; wireless local area network access point SoCs; Ethernet switching and routing custom silicon solutions; serializer/deserializer application specific integrated circuits; optical and copper, and physical layer devices; and fiber optic components and RF semiconductor devices. The company also offers RF front end modules and filter; Wi-Fi, Bluetooth, and global positioning system/global navigation satellite system SoCs; custom touch controllers; inductive charging; attached small computer system interface, and redundant array of independent disks controllers and adapters; peripheral component interconnect express; fiber channel host bus adapters; read channel based SoCs; custom flash controllers; preamplifiers; optocouplers, industrial fiber optics, and motion control encoders and subsystems; light emitting diode, ethernet PHYs, switch ICs, and camera microcontrollers. Its products are used in various applications, including enterprise and data center networking, home connectivity, set-top boxes, broadband access, telecommunication equipment, smartphones and base stations, data center servers and storage systems, factory automation, power generation and alternative energy systems, and electronic displays. Broadcom Inc. was founded in 1961 and is headquartered in Palo Alto, California."
GMWKF,Willow Road,Nottingham,United Kingdom,https://www.games-workshop.com,Leisure,leisure,Leisure,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,2950,7,7,9,1,8,1/1/2025 1:00,http://investor.games-workshop.com/,"Games Workshop Group PLC, together with its subsidiaries, engages in the design, manufacture, distribution, and sale of fantasy miniature figures and games in the United Kingdom, Continental Europe, North America, Australia, New Zealand, Asia, and internationally. It operates in two segments, Core and Licensing. The company offers games under the Warhammer: Age of Sigmar, Warhammer 40,000, Warhammer+, Warhammer: The Horus Heresy, Warhammer: The Old World, Necromunda, and Blood Bowl. It also publishes short stories, audio dramas, full length novels, and audio books under the Black Library name; produces motion picture, video, and television programs; and develops digital content for animation and TV. In addition, the company provides painting and modelling products, boxed games, and gifts; and engages in the magazine newsstand and trustee businesses. It offers its products through its retail stores, social media sites, and warhammer-community.com; and physical bookstores, third party online platforms, and other retail and specialist stores. The company was incorporated in 1991 and is headquartered in Nottingham, the United Kingdom."
MASI,52 Discovery,Irvine,United States,https://www.masimo.com,Medical Devices,medical-devices,Medical Devices,Healthcare,healthcare,Healthcare,3800,7,9,7,3,7,1/1/2025 1:00,,"Masimo Corporation develops, manufactures, and markets various patient monitoring technologies, and automation and connectivity solutions worldwide. The company offers masimo signal extraction technology (SET) pulse oximetry with measure-through motion and low perfusion pulse oximetry monitoring to address the primary limitations of conventional pulse oximetry; Masimo rainbow SET platform, including rainbow SET Pulse CO-Oximetry products that allows noninvasive monitoring of carboxyhemoglobin, methemoglobin, hemoglobin concentration, fractional arterial oxygen saturation, oxygen content, pleth variability index, rainbow pleth variability index, respiration rate from the pleth, and oxygen reserve index, as well as acoustic respiration monitoring, SedLine brain function monitoring, NomoLine capnography and gas monitoring, and regional oximetry. It also provides brain function and hemodynamic monitoring solutions; patient position and activity tracking, and neuromodulation technology solutions; and Masimo Hospital Automation platform, including hospital automation solutions, including Patient SafetyNet, Patient SafetyNet Surveillance, SafetyNet, Replica, Iris, MyView, UniView, Uniview: 60, Masimo Sleep, Centroid, and Bridg; and nasal high-flow ventilation, neuromodulation therapeutics, and telehealth solutions. In addition, the company provides its products through direct sales force, distributors, and original equipment manufacturers partners to hospitals, emergency medical service and home care providers, long-term care facilities, physician offices, veterinarians, and consumers; and home wellness products through e-commerce internet sites, such as masimopersonalhealth.com, amazon.com, and shopify.com. Masimo Corporation was incorporated in 1989 and is headquartered in Irvine, California."
MNST,1 Monster Way,Corona,United States,https://www.monsterbevcorp.com,Beverages - Non-Alcoholic,beverages-non-alcoholic,Beverages - Non - Alcoholic,Consumer Defensive,consumer-defensive,Consumer Defensive,5254,9,9,7,5,8,1/1/2025 1:00,,"Monster Beverage Corporation, through its subsidiaries, engages in development, marketing, sale, and distribution of energy drink beverages and concentrates in the United States and internationally. The company operates through three segments: Monster Energy Drinks, Strategic Brands, Alcohol Brands, and Other. It offers carbonated non-carbonated energy drinks, ready-to-drink iced teas, lemonades, juice cocktails, single-serve juices and fruit beverages, ready-to-drink dairy and coffee drinks, energy drinks, sports drinks and single-serve still waters, and sodas that are considered natural, sparkling juices, and flavored sparkling beverages. The company sells its products to full service beverage bottlers/distributors, retail grocery and specialty chains, wholesalers, club stores, mass merchandisers, convenience chains, food service customers, value stores, e-commerce retailers, and the military; and concentrates and/or beverage bases to authorized bottling and canning operations. It provides its products under the Monster Energy, Monster Energy Ultra, Monster Rehab, Monster Energy Nitro, Java Monster, Punch Monster, Juice Monster, Muscle Monster, Espresso Monster, Monster Tour Water, Fury, Monster MAXX, Caffe Monster, Monster Hydro, Monster HydroSport Super Fuel, Monster Dragon Tea, Reign Total Body Fuel, and Reign Inferno Thermogenic Fuel, Reign Storm, Bang Energy, NOS, Full Throttle, Burn, Mother, Nalu, Ultra Energy, Play and Power Play (stylized), Relentless, BPM, BU, Gladiator, Samurai, Live+, Predator, and Fury brands. The company was formerly known as Hansen Natural Corporation and changed its name to Monster Beverage Corporation in January 2012. Monster Beverage Corporation was founded in 1985 and is headquartered in Corona, California."
WYNN,3131 Las Vegas Boulevard South,Las Vegas,United States,https://www.wynnresorts.com,Resorts & Casinos,resorts-casinos,Resorts & Casinos,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,27800,7,3,5,10,8,1/1/2025 1:00,,"Wynn Resorts, Limited designs, develops, and operates integrated resorts. The company operates through four segments: Wynn Palace, Wynn Macau, Las Vegas Operations, and Encore Boston Harbor. The Wynn Palace segment operates private gaming salons and sky casinos; a luxury hotel tower with suites, and villas, including a health club, spa, salon, and pool; food and beverage outlets; retail space; meeting and convention space; and performance lake and floral art displays. The Wynn Macau segment operates casino space with private gaming salons, sky casinos, and a poker room; a luxury hotel tower, that include health clubs, spas, a salon, and a pool; food and beverage outlets; retail space; meeting and convention space; and Chinese zodiac-inspired ceiling attractions. The Las Vegas Operations segment operates casino space with private gaming salons, a sky casino, a poker room, and a race and sports book; a luxury hotel tower with suites, and villas, including swimming pools, private cabanas, full-service spas and salons, and a wedding chapel; food and beverage outlets; meeting and convention space; retail space; and theaters, nightclubs, a beach club. The Encore Boston Harbor segment operates casino space with gaming areas, and a poker room; a luxury hotel tower including a spa and salon; food and beverage outlets and a nightclub; retail space; meeting and convention space; and a waterfront park, floral displays, and water shuttle service. Wynn Resorts, Limited was incorporated in 2002 and is based in Las Vegas, Nevada."
CHH,915 Meeting Street,North Bethesda,United States,https://www.choicehotels.com,Lodging,lodging,Lodging,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,1836,2,4,1,5,3,1/1/2025 1:00,http://investor.choicehotels.com/phoenix.zhtml?c=99348&p=IROL-irhome,"Choice Hotels International, Inc., together with its subsidiaries, operates as a hotel franchisor in the United States and internationally. It operates through Hotel Franchising & Management and Corporate & Other segments. The company franchises lodging properties under the brand names of Comfort Inn, Comfort Suites, Quality, Clarion, Clarion Pointe, Sleep Inn, Ascend Hotel Collection, Econo Lodge, Rodeway Inn, MainStay Suites, Suburban Studios, WoodSpring Suites, Everhome Suites, Cambria Hotels, Radisson Blu, Radisson RED, Radisson, Park Plaza, Country Inn & Suites by Radisson, Radisson Inn & Suites, Park Inn by Radisson, Radisson Individuals, and Radisson Collection. Choice Hotels International, Inc. was founded in 1939 and is headquartered in North Bethesda, Maryland."
ANSS,Southpointe 2600 ANSYS Drive,Canonsburg,United States,https://www.ansys.com,Software - Application,software-application,Software - Application,Technology,technology,Technology,6400,2,2,4,6,2,1/1/2025 1:00,http://anss.client.shareholder.com/index.cfm,"ANSYS, Inc. develops and markets engineering simulation software and services for engineers, designers, researchers, and students in the United States, Japan, Germany, China, Hong Kong, South Korea, rest of Europe, the Middle East, Africa, and internationally. It offers structural analysis product suite that provides simulation tools for product design and optimization; the Ansys Mechanical product, an element analysis software; LS-DYNA solver for multiphysics simulation; and power analysis and optimization software suite. The company also offers electronics product suite that provides electromagnetic field simulation software for designing electronic and electromechanical products; Ansys High Frequency Structure Simulator product for radio frequency and microwave design; SCADE product suite, a solution for embedded software simulation, code production, and automated certification; fluids product suite that enables modeling of fluid flow and other related physical phenomena; Ansys Fluent computational fluid dynamics software package; Ansys RedHawk-SC for electronic design automation; Ansys Optics software; and mission-simulation, modeling, testing, and analysis software. In addition, it offers Ansys Granta MI system for materials information management; Ansys Granta Selector technology for materials selection and graphical analysis; CES EduPack product, a set of teaching resources; Granta Materials Data for Simulation; Ansys Lumerical product, a photonics simulation software solution; safety-certified embedded software solutions; Discovery product family for use in the simulation of product design; academic product suite for research and teaching settings. ANSYS, Inc. was founded in 1970 and is headquartered in Canonsburg, Pennsylvania."
